id,description,bilgisayar,cep telefonu,ev elektroniği,bilgisayar bileşenleri,fotoğraf / elektronik,küçük ev aletleri,televizyon,monitör,çevre birimleri,network ürünleri,tüketici elektroniği,yazılım,bilgi teknolojileri,yazıcılar,elektronik,oyun - hobi,aksesuar ürünleri,ütü,tüketim malzemeleri,toner,kulaklık,mürekkep kartuşları,veri depolama,mouse,bellek (ram),ekran kartı,aksesuar & sarf malz.,sarf malzemeleri,kablolar,akıllı telefonlar,bilgisayar tablet yazıcı,toner kartuş şerit,samsung,apple,sony,corsair,philips,tablet,s-link,everest,hp,resim,oyunlar,fotoğraf makinesi,asus,hoparlörler,hafıza kartları,sarf malzemeler,aksesuarlar,bilgisayar aksesuarları,yazıcı & sarf malzemeleri,bilgisayar oyunları,çantalar ve kılıflar,airties,kartuş,canon,aral,Others
462,hp pavilion  nnt pentium n gb gb   dokunmatik win kwea detay bilgisi işletim sistemi windows işlemci ailesi intel pentium işlemciişlemci intel pentium n intel hd graphics ile   ghz  mb önbellek  çekirdekli bellek gb  mhz ddrl sdramdahili sürücü  gb  rpm sataekran   cm   inç diyagonal boyutlu hd led arkadan aydınlatmalı dokunmatik ekran  x  grafik intel hd graphicsbağlantı noktaları hdmi usb   usb   rj ses özellikleri  hoparlörlü beats audioağ arabirimitümleşik   base t ethernet lankablosuz b g n x ve bluetooth   birleşimi miracast uyumlu güç kaynağı türü  w ac güç adaptörüpil tipi  hücreli  wh prizmatikenerji verimliliğienergy star belgeliepeat silver,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1286,stoktan ayni gün teslim ayni gün kargo iphone  yalnızca daha büyük değil her açıdan daha gelişmiş daha büyük ve çok daha ince daha güçlü ve çok daha verimli kusursuz metal yüzeyi yeni retina hd ekranla mükemmel bir uyum içinde donanım ve yazılımın olağanüstü birlikteliği kesintisiz bir form ve her anlamda daha üstün yeni bir iphone nesli yarattı yalnızca daha büyük bir ekran değil daha iyi bir ekran iphone  ve iphone  plusı gördüğünüzde ilk dikkatinizi çeken şey daha yüksek çözünürlüklü yeni retina hd ekranların boyutu olabilir ama deneyiminizin bunun çok daha ötesinde olacağı kesin daha yüksek kontrast sağlayan yenilikler daha geniş görüntüleme açılarında bile daha gerçekçi renkler sunan çift etki alanlı pikseller ve geliştirilmiş polarizör ve karşınızda şimdiye kadarki en ince ve en gelişmiş multitouch ekranlar büyük güç yüksek verimlilik iphone da ikinci nesil  bit masaüstü sınıfı mimariye sahip a çip bulunur m yardımcı hareket işlemcisi aralarında yeni bir barometrenin de bulunduğu gelişmiş sensörleri sayesinde hareketlerinizi etkili bir şekilde ölçerek bu olağanüstü gücü artırır daha iyi performans ve pil ömrü iphone nızı daha uzun süre kullanmanızı ve çok daha fazla şey yapabilmenizi sağlar dünyanın fotoğrafa bakış açısı bu kamerayla değişti şimdi sıra videoda iphone ile her gün diğer kameralardan daha çok fotoğraf çekiliyor çünkü isight kamera bu işi son derece kolay hale getiriyor ve dünyanın en popüler kamerası   mikron piksel boyutunun ve    diyaframın yanı sıra herkesin harika fotoğraflar çekmesini sağlayacak yepyeni teknolojilerle donatıldı mükemmel videolar çekmeyi de kolay bir hale getirmek için hızlandırılmış video modu saniyede  kare p hd video ve saniyede  kare ağır çekim video gibi yeni özellikler ekledik üstelik şimdi çektiğiniz hd videoların muhteşem sonuçlarını geniş retina hd ekranda izleyebilirsiniz güvenlik parmağınızın ucunda parmak iziniz en güvenli parolanızdır çünkü her zaman yanınızdadır ve sadece size özeldir çığır açan touch id teknolojimiz benzersiz bir parmak izi sensörü kullanarak telefonunuzun kilidini açmayı kolay ve güvenli hale getirdi üstelik ios  ve touch iddeki yeni özellikler sayesinde parmak izinizle şimdi çok daha fazlasına daha hızlı erişebileceksiniz ios  şimdiye kadarki en büyük ios sürümü büyük olan yalnızca iphone  değil dünyanın en gelişmiş mobil işletim sistemi de çıtasını yükseltti ios  örneğin sağlık ve spor uygulamalarını kullanarak doktorunuzla iletişim kurmak gibi daha önce yalnızca hayal edebildiğiniz şeyleri yapmanızı sağlayan özellik ve işlevlere sahip şimdi geliştiriciler ios in olağanüstü yeni özelliklerini uygulamalarına taşıyor çünkü daha derinlemesine erişimleri ve daha fazla araçları var ve bunların hepsi büyük retina hd ekranda muhteşem görünüyor,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1290,ağırlık gr  boyut mm   x   x   şebeke gsm     hsdpa     veri bağlantısı hsdpa  mbps hsupa lte a wi fi   a b g n ac dual band wi fi direct dlna wi fi hotspot bt v  çift sim kart işletim sistemi  işlemci işletim sistemi android   kitkat işlemci hızı quad core   ghz cortex a  quad core   ghz cortex a çift çekirdekli işlemci  çekirdekli işlemci  çekirdekli işlemci ekran iç ekran   super amoled x dokunmatik kamera arka kamera asıl  mp cmos af led flaş ön kamera   mp cmos video mp mv gp g wmv asf avi flv mkv webm flaş hd video kaydedici bağlanti g görüntülü görüşme g data wi fi gps bluetooth tv out usb hafiza dahili hafıza  gb   gb ram arttırılabilir hafıza yok ses  müzik radyo müzik çalar mp ma ga aac ogg oga wav wma amr awb flac mid midi xmf mxmf imy rtttl rtx ota  mm kulaklık girişi diğer navigasyon mesajlaşma chaton sms mms video messaj h amr nb mpeg e posta active sync bluetooth messenger ssm push im java java midp emulator doküman görüntüleyebilme ekstralar  mah uzun ömürlü batarya metal çerçeve gelişmiş kamera özellikleri parmak izi okuyucusu kalp atış sensörü çoklu pencere samsung apps hareket sensörü active sync chaton ücretsiz mesajlaşma servisi doküman görüntüleme,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1300,özellikler ekran ekran boyutu  ekran boyutu cm  cm çözünürlük   x   ultra net panel no video resim motoru d hyperreal engine net hareket hızı  uhd dimming no hassas siyah yerel karartma no geniş renk iyileştirici plus yes geniş renk dizisi n a renk doğruluğu n a otomatik derinlik geliştirici n a film modu yes ses dolby ms ms dolby ms dts studio sound dnse dts studio sound dts premium sound dts premium sound   dts premium sound   d ses yes otomatik ses dengeleyici yes ses özelleştirici no ses çıkışı rms w x  hoparlör türü down firing  full range woofer no hd audio no smart tv smart hub yes samsung smart tv yes on tv yes filmler ve diziler no multimedya yes uygulamalar yes oyun no spor yes çocuklar yes multi screen dual quad ekran no samsung tvde skype yes web tarayıcı yes smart interaction sesli etkileşim no ses kontrolü no dahili kamera no yüz tanıma ready hareket kontrolü ready cihaz etkileşimi içerik paylaşımı dlna yes screen mirroring yes samsung smart view yes akıllı giriş n a kolay pin eşleştirme yes ayarlayıcı yayın çift hd uydu alıcı no ci ci ci ci   dtv ayarlayıcı dvb t c s analog tuner yes mhp mheg hbbtv acap ginga ohtv n a bağlantı hdmi  usb  bileşen girişi y pb pr  kompozit girişi av  common use for component y ethernet lan yes kulaklık n a dijital ses çıkışı optik  rf in karasal kablolu giriş   common use for terrestrial  ex link rs c n a ir out yes ci yuvası  scart  mhl ce   no tek bağlantı jak no wifi direct yes hdmi   d otomatik ayar yes hdmi   a return ch desteği yes instaport s hdmi hızlı geçiş no kablosuz lan adaptör desteği no yerleşik kablosuz lan yes anynet hdmi cec yes tasarım tasarım wavy deco çerçeve tipi vnb ön renk black hafif efekt deco no stand türü quad döndürme sol sağ yes ilave özellikler samsung d yes d dönüştürücü yes anında açılma no dört çekirdek no erişilebilirlik zoom otomatik kapanma yes saat ve açma kapama zamanlayıcısı yes uyku zamanlayıcısı yes bd wise plus yes altyazı yes kanal listesi usb clone yes connectshare usb   movie futbol modu advanced gömülü pop yes epg yes pvr hazır yes oyun modu yes multiroom speaker no ekran dili local languages resim içinde resim pip yes bt hid dahili yes usb hid desteği yes smart evolution desteği no tv soundconnect yes teleteks ttxt yes zaman atlama yes çevreci özellik eko algılayıcısı yes enerji verimliliği sınıfı a cıva içeriği  mg kurşun varlığı yes güç güç beslemesi ac v  hz güç tüketimi maks w güç tüketimi beklerken  w güç tüketimi enerji tasarrufu modu  w güç tüketimi iec  sürüm   w en üst parlaklık oranı  yıllık güç tüketimi ab standart kwh  kwh boyutlar ambalaj boyutu gxyxd  x  x  stantlı set gxyxd   x   x   stantsız set gxyxd   x   x   ağırlık paket ağırlığı  kg set ağırlığı stand ile birlikte  kg set ağırlığı stantsız  kg aksesuarlar d etkin gözlük dahil no uzaktan kumanda modeli tma piller uzaktan kumanda için yes samsung smart touch control dahil no ultra ince duvar montajı destekleniyor yes mini duvar montajı desteği yes vesa duvar montajı desteği yes yerde durma desteği yes televizyon kamerası dahil no ir uzatma kablosu dahil yes kablosuz klavye dahil no kablosuz lan adaptörü dahil no kullanıcı kılavuzu yes e kılavuz yes güç kablosu yes ince kablo cinsi no,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1665,ürün kodu  genel özellikler panel tipi led ekran boyutu   inch tepki süresi  ms bağlantı tipi analog çözünürlük  x  renk siyah pivot yok yükseklik ayarı yok vesa uyumu var garanti süresi  ay,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2485,özellikler smartcontrol lite ile kolay ekran performansı ayarlama smartcontrol lite yeni nesil d simge tabanlı gui monitör kontrol yazılımıdır bu kullanıcıların renk parlaklık ekran kalibrasyonu multimedya kimlik yönetimi vb birçok monitör parametresinin hassas ayarlarının fare ile yapmasını sağlar zengin siyah ayrıntılar için smartcontrast smartcontrast görüntülediğiniz içeriği analiz eden en iyi dijital görüntüler ve videolar sunmanın yanı sıra koyu renk tonların görüntülendiği oyunları zenginleştirmek amacıyla kontrastı dinamik olarak geliştirmek için renkleri otomatik olarak ayarlayan ve arka aydınlatma yoğunluğunu kontrol eden bir philips teknolojisidir ekonomi modu seçildiğinde günlük ofis uygulamalarının en doğru şekilde görüntülenmesi ve daha düşük güç tüketimi için kontrast ayarlanır ve arka aydınlatmaya hassas ayar uygulanır cıva içermez çevre dostu ekran led arka aydınlatmalı philips monitörlerde insanlar ve hayvanlar için en tehlikeli doğal maddelerden biri olan cıva bulunmaz bu sayede üretiminden atılmasına kadar ürünün tüm kullanım ömrü boyunca çevre dostu olması sağlanır canlı renkler için led teknolojisi beyaz ledler tamamen yanarak tutarlı parlaklık veren ve daha hızlı çalışma süresi sunan dijital cihazlardır ledler cıva içermediğinden geri dönüşüm ve atık işlemleri çevreye zarar vermeden gerçekleştirilir ledler sayesinde lcd arka aydınlatması daha iyi kontrol edilir ve bunun sonucunda son derece yüksek mükemmel bir kontrast oranı elde edilir ayrıca ekranın her noktasında tutarlı parlaklık sayesinde doğal renkler sunar teknik özellikler marka philips model   vlsb  led monitör ms siyah ekran büyüklüğü   inç  cm çözünürlük  hzde  x  ekran tipi w led sistemi arka aydınlatma   tft lcd tepki süresi  ms nokta aralığı çalışma frekansı parlaklık kontrast smartcontrast     kontrast oranı tipik   görüş açısı max renk derinliği   m bağlantı türü vga analog hoparlör yok kamera yok duvara monte güç tüketimi güç adaptörü dahili  vac  hz paket içeriği boyutlar diğer özellikler ağırlık sıfır pixel garantisi yok garanti süresi  ay,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2495,genel özellikler seagate backup plus ile dijital yaşamınızı bilgisayarınızda ve bulutta kolayca ve otomatik olarak yedekleyin seagate backup plus taşınabilir disk bütün dijital yaşamlarını yerel olarak bulutta veya sosyal ağlarda saklamak isteyen tüketiciler için yedekleme işlemini basitleştirir metal tasarım diski cebinize cüzdanınıza veya evrak çantanıza koyup yanınızda götürmenizi sağlar seagate dashboard üzerinden tek tıklatmalı bir plan oluşturmak veya otomatik yerel yedeklemenizi ayarlamak için koru işlevini kullanın herhangi bir veri kaybı riskine karşı dosyalarınızın birden fazla kopyasını tutabilirsiniz kullanıcı tarafından oluşturulan içerik kaydet özelliği sayesinde en sevdiğiniz sosyal ağlarda yedeklenebilir artık birçok kişi akıllı telefonlarını paha biçilmez anlarını yakalamak için kullanıyor bu cihazların kullanımları kolaydır ancak depolama güçlü özelliklerinden biri değildir bir hatırayı yakalayın etiket olarak eklendiğiniz fotoğraflar da dahil bir sosyal ağ sitesinde yayınlayın ve seagate dashboardun yayınlanan tüm içeriği otomatik olarak yedeklemesini sağlayın dosya yanlışlıkla akıllı telefonunuzdan silinse bile başka bir kopyası bekleyebilir paylaş özelliği bilgisayarınızdan sosyal ağlara aynı anda birden fazla dosyanın yüklenmesine izin verir yeni bir albüm oluşturmadan dosyaları teker teker karşıya yükleme günleri artık geride kaldı doğrudan karşıya yüklemek istediğiniz dosyaları seçin onları yayınlamak istediğiniz yeri belirleyin ve hatta yorum ekleyin sosyal profilinizi yönetmek hiç bu kadar kolay olmamıştı mac için önceden yüklü ntfs sürücüsünü kurun ve diski yeniden biçimlendirmeden pc ile mac bilgisayarlar arasında değişmeli olarak kullanın teknik özellikler marka seagate model    tb backup plus usb   gümüş ürün kodu stdr disk tipi taşınabilir kapasite arabirim usb   dönüş hızı rpm veri transfer hızı  gb sn disk boyutu   inch arabellek media center yok firewire yok e sata yok ethernet yok harici güç adaptör yok renk gümüş boyutlar uzunluk inç mm     genişlik inç mm     derinlik inç mm     sistem gereksinimleri windows  windows  windows vista windows xp sp  bit ve  bit işletim sistemi veya mac os x   ve üstü superspeed usb   bağlantı noktası usb   aktarım hızları veya usb   aktarım hızlarında usb   bağlantı noktaları ile geriye doğru uyum için gereklidir   mac için yeniden biçimlendirilmesi gerekebilir  uyumluluk kullanıcının donanım yapılandırmasına ve işletim sistemine bağlı olarak değişiklik gösterebilir kutu içeriği seagate backup plus diski  inçlik usb   kablosu seagate dashboard diskte önceden yüklüdür hızlı başlangıç kılavuzu mac için ntfs sürücüsü diskte önceden yüklüdür  yıl sınırlı garanti ağırlık g garanti süresi  ay,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2503,fotoğrafçılıktan keyif almak çok kolay w dijital kompakt fotoğraf makinesi gece veya tatilde net güzel fotoğraflar ve hd videolar çekmenizi kolaylaştıran özelliklere sahiptir x optik zoomla görüntüyü yakınlaştırın ve eğlencenin ruhunu yakalayan harika çekimler yapmak için parti moduna geçin  mm geniş açılı objektif geniş açılı  mm objektifle sahnenin bir kısmını değil tamamını çekin super had ccd   mp sensör yüksek çözünürlüklü   mp görüntü sensörüyle her sahnenin güzelliğini yakalayın daha ileri gidin daha fazlasını görün x optik zoom x optik zoom akıllı telefonların ulaşamayacağı netlikle aksiyona yakınlaşmanızı sağlar cebinize sığan tarz hassas fotoğrafçılık akıllı telefon taşınabilirliğiyle bir araya geliyor w harika fotoğraflar çeker güzel görünür ve cebinize sığacak kadar küçüktür bir renk seçin şık gümüş ve siyah renk seçeneklerinden birini seçin ve çekim yaparken tarzınızı sergileyin her anı mükemmel ayrıntılarla yakalayın gelişmiş flaş güçlendirilmiş hassasiyet kapalı alanlarda gün batımında veya gece saatlerinde daha parlak fotoğraflar çekmenizi sağlar  cm makro odaklama mesafesi  cm makro odaklama mesafesi nesnenizi yakında olsa bile net şekilde yakalamanızı sağlar fotoğraf çekmek artık çok kolay w ile kolayca harika fotoğraflar ve videolar çekebilirsiniz düğmeler kolayca erişebileceğiniz yerde bulunur ve özel video düğmesi video çekmeyi kolaylaştırır canlı   tipi clear photo lcd ekran fotoğraflarınızı görmenizi ve videolarınızı zahmetsizce oynatmanızı sağlar canlı hd çekim yapın wle anında canlı akıcı çekimler yapın tek bir düğmeye basarak dijital sesli net  hd video kaydı yapabilirsiniz  hd çekim net ayrıntılı video çekmenizi sağlayan  hd kayıtla önemli anları yakalayın özel video düğmesi mükemmel çekim fırsatını yakaladığınızda özel video kayıt düğmesine basarak çekime başlayın parti hayatı dahili parti modunu etkinleştirdiğinizde fotoğraf makinesi önemli ayarları otomatik olarak ayarlayarak mükemmel canlı parti fotoğrafları çeker görüntü efekti ile yaratıcılığınızı konuşturun dahili görüntü efekti teknolojisini kullanarak fotoğraflarınıza hayat katın çeşitli modlar arasından seçim yapabilirsiniz üstelik görüntü düzenleme yazılımı indirmeniz gerekmez manzarayı daha geniş yakalayın düğmeye basın ve fotoğraf makinesini kaydırın fotoğraf makineniz yüksek hızda çektiği kareleri birleştirerek tek bir panoramik fotoğraf oluşturur ayrıntılarsuper had ccd   mp sensörx optik zoom özellikli sony objektifgüzel videolar için hd video özelliğitüm sahneyi yakalamak için panoramik çekimgörüntü efekti ile yaratıcılığınızı konuşturunsensör tipi   tipi   mm super had ccdefektif pikselyaklaşık   megapikselobjektif tipisony lensoptik zoomx film çekimi yaparken optik zoom ekran tipi  cm   tipi     nokta clearphoto tft lcdgiriş ve çıkış terminalleriçoklu av usb yüksek hızlı usb usb   boyut ve ağırlık boyutlar g x y x d cipa   mm x   mm x   mm    inç x    inç x   inç ağırlık cipa yaklaşık  g   oz pil ve memory stick duo dahil yaklaşık  g   oz yalnızca gövde sensör sensör tipi    tipi   mm super had ccd efektif piksel yaklaşık   megapiksel objektif objektif tipi sony lens f sayısı f  w   t odak uzaklığı f   mm zoom optik zoom x film çekimi yaparken optik zoom dijital zoom fotoğraf  m yaklaşık x  m yaklaşık  x  m yaklaşık  x vga yaklaşık x  m   yaklaşık x dijital zoom video yaklaşık  görüntü sabitleme steadyshot eis gyro yok odaklanma odaklama modu çok noktalı af merkez ağırlıklı af izlemeli odaklama yüz izlemeli odaklama odaklanma aralığı iauto af w yaklaşık  cm   ft sonsuz t yaklaşık  cm   ft sonsuz otomatik program af w yaklaşık  cm   ft sonsuz t yaklaşık  cm   ft sonsuz işık ölçme modu çok desenli pozlama harici flaş modu otomatik flaş açık yavaş senkronize flaş kapalı gelişmiş flaş harici flaş harici flaş aralığı iso otomatik yaklaşık   m   m   ft   ft w yaklaşık   m   m   ft   ft t iso yaklaşık maks  m  ft w yaklaşık   m   ft t lcd ekran tipi   cm   tipi     nokta clearphoto tft lcd parlaklık kontrolü  parlak     karanlık deklanşör deklanşör hızı iauto    otomatik program    beyaz dengesi beyaz dengesi modları otomatik gün ışığı bulutlu floresan beyaz dengesi    akkor flaş saklama ortamı dahili bellek yaklaşık  mb uyumlu kayıt ortamı memory stick duo memory stick pro duo memory stick pro duo yüksek hızlı memory stick pro hg duo memory stick xc hg duo memory stick micro memory stick micro mark sd bellek kartı sdhc bellek kartı sdxc bellek kartı microsd bellek kartı microsdhc bellek kartı microsdxc bellek kartı kayıt fotoğraf çözünürlüğü   modu  m  x   m  x   m  x  vga   modu  m  x   m  x  panoramik çekim    geniş  x   x  standart  x   x  video kayıt modu x x  fps vga x  fps qvga x  fps panorama kayıt akıllı panoramik çekim  formatını destekler kayıt formatı fotoğraflar jpeg dcf exif mpf baseline uyumlu dpof uyumlu dahili flaş dahili flaş modu otomatik flaş açık yavaş senkronize flaş kapalı gelişmiş flaş dahili flaş aralığı iso otomatik yaklaşık   m   m   ft   ft w yaklaşık   m   m   ft   ft t iso yaklaşık maks  m  ft w yaklaşık   m   ft t çekim çekim modu akıllı otomatik panorama otomatik program kolay çekim görüntü efekti sahne seçimi steady shot parti kesintisiz çekim hızı maksimum yaklaşık   fps  çekim zamanlayıcı kapalı  sn  sn portre portre alan seçimi yüksek duyarlılık gece sahnesi gece portre manzara portre plaj kar gurme evcil hayvan modu görüntü efekti fotoğraf oyuncak fotoğraf makinesi popüler renk kısmi renk yumuşak yüksek ton video oyuncak fotoğraf makinesi popüler renk kısmi renk yumuşak yüksek ton panorama çekim  panoramik çekim çekim işlevleri akıllı otomatik ayarlama kolay çekim otomatik program panorama sahne seçimi görüntü efekti steady shot parti oynatma oynatma modları müzik eşliğinde slayt gösterisi pozlama pozlama telafisi    ev   ev kademe iso hassasiyeti fotoğraf otomatik       iso hassasiyeti video otomatik iso  seviyesi güç güç tüketimi fotoğraf makinesi yaklaşık  w pil ömrü cipa fotoğraf yaklaşık  yaklaşık  dakika arayüz giriş ve çıkış terminalleri çoklu av usb yüksek hızlı usb usb   kutuda aksesuarlar şarj edilebilir pil paketi np bn ac adaptör ac ubc bilek kayışı çoklu usb kablosu kullanma kılavuzu,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2580,ürün hakkında tefal gv  ayarlı pro express total auto control buhar jeneratörlü ütü  bar buhar basıncı  g dk buhar gücü  g dk şok buhar  ısı buhar ayarı  l su tank kapasitesi çıkarılabilir su tankı sürekli dolum autoclean taban kordon saklama bölmesi kilit sistemi comfort,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2838,sony xperia z cep telefonu özellikleri genel özellikler ağırlık  gram genişlik   mm yükseklik   mm kalınlık   mm şebeke frekansı gsm gsm gsm gsm bluetooth var sesle arama var ses kaydı var pil miktarı   mah bekleme süresi  saat konuşma süresi  saat g var wi fi var hsdpa var uçuş modu var bluetooth versiyon    low energy wi fi versiyonu   a b g n ac usb desteği var gps glonass var nfc var diğer genel özellikler ip ip su ve toza karşı dayanıklılık sertifikaları donanım özellikleri çipset qualcomm snapdragon  msmab işlemci hızı ve türü   ghz krait  ram  gb lpddr ekran kartı  mhz adreno  işlemci sayısı dört sensörler ivme ölçer yakınlık sensörü jiroskop ışık sensörü pusula ekran özellikleri renk sayısı  ekran boyutları   inç ekran çözünürlüğü  x  px dokunmatik ekran var ekstra ekran özellikleri live color led teknolojili triluminos ips lcd ekran  ppi piksel yoğunluğu  parmağa kadar çoklu dokunmatik çatlama ve çiziklere karşı dayanıklı cam x reality engine bravia engine yazılımsal görüntü iyileştirme teknolojileri kapasitif ekran var çoklu dokunmatik var hafıza özellikleri telefon hafızası  gb harici hafıza yuvası var harici hafıza kartı tipi microsd maksimum hafıza kartı boyutu  gb kamera özellikleri çözünürlük   mp flaş var ikinci kamera özellikleri   mp ekstra kamera özellikleri    inç arkadan aydınlatmalı sony exmor rs cmos kamera sensörü bionz görüntü işlemcisi fps hd yavaş çekim modu coğrafi etiketleme dokunarak otomatik odaklanma panorama hdr timeshift çekim modları video kayıt ultra hd k yazılım özellikleri senkronizasyon var işletim sistemi android işletim sistemi versiyonu android   kitkat tema desteği var kullanıcı arayüzü sony xperia ui çoklumedya özellikleri mp çalar var radyo çalar var dahili kamera var video çekebilme var video oynatabilme var ön kamera var görüntülü görüşme var eksta çoklumedya özellikleri mhl portu çift hoparlör miracast kablosuz ekran teknolojisi dlna var internet özellikleri html tarayıcı var edge var ekstra internet özellikleri dc hsdpa ile  mbps mobil veri indirme hsupa ile   mbps veri yükleme hızı anında mesajlaşma var wi fi hotspot var wi fi direct var,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2842,samsung g fiyatı özellikleri ürün özelliklerigenel özellikleriişlemci hızı quad core   ghzişletim sistemi androidresimli telefon defteri varjava desteği vareller serbest konuşma handsfree varhesap makinesi varajanda varşebeke    boyutlar   x   x   mmbelge görüntüleyici vargps navigasyon desteği varses kayıt vartitreşim varbağlantı özellikleribluetooth varedge vare mail desteği varpc senkronizasyonu varhsdpa    wi fi varg varekran özellikleridokunmatik ekran super amoledekran çözünürlüğü  x  pixelsekran boyutu  ekran renk çözünürlüğü mkamera özellikleriön kamera varkamera çözünürlüğü  mpkamera zoom varsesli video kayıt varvideo oynatma varentegre flaş varhafıza özellikleritelefon hafızası  gb rom  gb ramarttırılabilir hafıza yokeğlencemp çalma vargüç özellikleripil türü li ionpil gücü  mahsatış  satış sonrasıgaranti süresi  yılkargo bedeli,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
