id,description,bilgisayar,cep telefonu,ev elektroniği,bilgisayar bileşenleri,fotoğraf / elektronik,küçük ev aletleri,televizyon,monitör,çevre birimleri,network ürünleri,tüketici elektroniği,yazılım,bilgi teknolojileri,yazıcılar,elektronik,oyun - hobi,aksesuar ürünleri,ütü,tüketim malzemeleri,toner,kulaklık,mürekkep kartuşları,veri depolama,mouse,bellek (ram),ekran kartı,aksesuar & sarf malz.,sarf malzemeleri,kablolar,akıllı telefonlar,bilgisayar tablet yazıcı,toner kartuş şerit,samsung,apple,sony,corsair,philips,tablet,s-link,everest,hp,resim,oyunlar,fotoğraf makinesi,asus,hoparlörler,hafıza kartları,sarf malzemeler,aksesuarlar,bilgisayar aksesuarları,yazıcı & sarf malzemeleri,bilgisayar oyunları,çantalar ve kılıflar,airties,kartuş,canon,aral,Others
462,Hp Pavilion nnt Pentium gb gb dokunmatik Win kwea detay Windows işlem intel Pentium işlemciişlemci intel Pentium intel Hd Graphics Ghz Mb önbellek çekirdek bellek gb Mhz ddrl sdramdahili gb rpm sataekran inç diyagonal Hd Led aydınlatmak dokunmatik grafik intel Hd graphicsbağlantı hdmi Usb Usb rj hoparlör Beats audioağ arabirimitümleşik Base Ethernet lankablosuz x Bluetooth birleşim miracast Ac adaptörüpil hücre wh prizmatikenerji verimliliğienergy belgeliepeat Silver,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1286,stok gün kargo yüzey retina Hd ekran donmak yazılım birliktelik form Nes ekranmak plusı görmek dikkat çözünürlük retina Hd ekran deneyim öte Yüksek kontrast yeni görüntülemek açı renk almak pik gelişmek polarizör karşı Kadarki multitouch ekran Yüksek Verim da bitmek masaüstü mimarî çip hareket işlem barometre sensör hareket ölçmek artırmak iyi pil nızı uzun kullanmak yapmak fotoğraf kamera video ilmek gün kamera çok çekmek isight son kamera mikron pik boyut diyafram harika çekme teknoloji donatmak video çekme için hız mod Hd çekim eklemek çekmek Hd video geniş retina Hd ekran izlemek parmak iz parola yan özel çığır Touch İd teknoloji benzer bir sensör telefon kilit açma Hale ios Touch İd özellik parmak iz çok fazla hız erişmek ios Kadarki ios sürüm o iphone dünya en işletim çıta yükselmek ios uygulamak doktor gibi daha yalnız etmek yapmak ve işlev gelişmek ios yen uygulamak daha derinlemesine erişim ve daha Araç ve hepsi retina Hd ekran,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1290,Mm şebeke Gsm Hsdpa Hsdpa Mbps hsupa Lte Wi Ac Dual Band Wi Direct Dlna Wi Hotspot bt sim işlem sistem Kitkat işlem Quad Core Ghz Cortex Quad Core Ghz Cortex çift çekirdek işlem çekirdek işlem çekirdek işlem Super Amoled dokunmatik asılmak Mp Cmos Led flâş Mp Cmos Mp Mv Gp wmv asf Avi flv mkv webm flâş Hd kaydetmek bağlanti görüntü data Wi Gps Bluetooth Out Usb hafiza dâhil hafız gb gb ram arttırmak hafız radyo çalmak Mp Ga aac Ogg oga wav wma awb flac mid midi xmf mxmf imy rtttl rtx ot Mm kulak navigasyon mesajlaşmak chaton Sms Mms messaj Nb Mpeg Active Sync Bluetooth Messenger Ssm Push Java Java midp emulator doküman görüntülemek ekstra Mah ömür batarya kamera okumak sensör çok Samsung Apps sensör Active Sync chaton mesajlaşmak doküman görüntülemek,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1300,Cm çözünürlük ultra panel motor hyperreal engin uhd dimming Yerel kararmak iyi Plus Yes doğru derinlik gelişmek mod Yes Dolby ms ms Dolby ms dts Studio Sound dnse dts Studio Sound dts Premium Sound dts Premium Sound dts Premium Sound Yes dengelemek Yes özel rms hoparlör Down firing Full Range woofer Hd Audio Smart Smart hub Yes Samsung Smart Yes Yes diz multimedya Yes Yes Yes Yes Multi Screen Dual Quad Samsung tv Skype Yes taramak Yes Smart interaction etkileşim dâhil Ready kontrol Ready etkileşim paylaşım Dlna Yes Screen mirroring Yes Samsung Smart View Yes pin eş Yes ayarlamak Hd Ci Ci Ci Ci dtv ayarlamak dvb analog Tuner Yes mheg hbbtv acap ginga ohtv hdmi Usb bileşen Pb Pr kompozit Common use component Ethernet Yes kulak optik Rf kara kablo Common use terrestrial Ex link Rs N irmek Out Yes Ci yuva scart mhl Ce Jak Wifi Direct Yes hdmi ayar Yes hdmi Return ch Yes instaport hdmi kablo adaptör kablo Yes anynet hdmi cec Yes wavy Deco vnb renk Black efekt Deco stand Quad dönmek Yes Samsung Yes dönüşmek Yes açmak dört çekirdek erişmek Zoom kapanmak Yes kapama zamanlamak Yes zamanlamak Yes bd Wise Plus Yes altyazı Yes Usb clone Yes connectshare Usb Movie mod Advanced gömülü Yes epg Yes pvr Yes mod Yes multiroom speaker ekranmak Local languages pip Yes bt hid dâhil Yes Usb hid Yes Smart Evolution tv soundconnect Yes teleteks ttxt Yes atlamak Yes çevre eko algılamak Yes Verim a cıvmak Mg Yes besleme Ac Maks tasarruf mod iec sürüm Parlak Güç tüketim standart kwh kwh boyut ambalaj gxyxd stant gxyxd stant gxyxd x x Kg stand Kg stant Kg aksesuar gözlük Kuman tma pil Kuman Yes Samsung Smart Touch Control ultra montaj desteklemek Yes montaj Yes vesa montaj Yes durmak Yes kamera irmek uzamak kablo Yes kablo klâvye kablo adaptör kılavuz Yes kılavuz Yes Güç kablo Yes kablo cins,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1665,kod panel Led inch ms analog çözünürlük pivot Yüksek ayar vesa uyum süre,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2485,smartcontrol Lite performans ayarlamak smartcontrol Lite Simge taban gui monitör yazılım kullanmak Parlak kalibrasyon multimedya birçok monitör parametre ayar sağ ayrıntı smartcontrast smartcontrast görüntülemek video sunmak ton görüntülemek zengin kontrast olmak ayarlamak aydınlatmak yoğun Philips teknoloji mod seçmek uygulamak görüntülemek kontrast ayar aydınlatmak ayar Uygu cıvmak içermek Led aydınlatmak Philips monitör en madde cıvmak bulunmak üretim atmak kullanım dost sağ renk Led Led yanmak Parlak hız dijital cihaz Led cıvmak içermek çevre Gerçek Led Lcd aydınlatmak iyi ve bu Yüksek kontrast etmek ekranmak Parlak renk Sunar Philips vlsb Led monitör ms inç çözünürlük Hz ekranmak w Led aydınlatmak tft Lcd ms aralık frekans Parlak kontrast smartcontrast kontrast açı renk derinlik vga analog hoparlör duvar monte Güç adaptör dâhil vac boyut sıfır Pixel garanti süre,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2495,Seagate Backup Plus Yaşam bilgisayar bulut yedeklemek Seagate Backup Plus taşınmak disk Yaşam bulut ağ saklamak tüketmek yedeklemek işlem basit disk cep cüzdan evrak çanta yan götürmek Seagate dashboard tıklamak Yerel yedeklemek ayarlamak korumak işlev kullanmak risk dosya kopya tutmak içerik kaydetmek sevmek ağ yedeklemek telefon pah biçmek an cihaz kullanım kolay depolamak özellik Hatıra yakalamak etiket eklemek bir yayınlamak Seagate dashboardun otomatik yedeklemek sağlamak yanlışlıkla telefon silmek bir kopya beklemek pay bilgisayar ağ faz dosya yük bir oluşmak dosya yüklem kal yüklemek dosya seçmek yayınlamak belirlemek eklemek profil yönetmek kolay Mac Ntfs sürü kuru disk biçim Pc Mac bilgisayar değişmek kullanmak Seagate Tb Backup Plus Usb kod stdr disk taşınmak kapasite arabirim Usb rpm hız gb Sn disk inch arabellek Media Center firewire satmak Ethernet hariç adaptör boyut uzun inç Mm genişlik inç Mm derinlik inç Mm gereksinim Vista Xp Sp bitmek bitmek Mac Os superspeed Usb Usb Aktar hız Usb Aktar hız Usb geri gerekli Mac biçim gerekmek uyum kullanmak donmak yapılandırmak işletim olmak göstermek Seagate Backup Plus disk inç Usb kablo Seagate dashboard disk yük kılavuz Mac Ntfs disk yük ağır ay,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2503,fotoğraf kompakt tatil Hd video çekme kolay özellik optik Zoom görüntü yakın eğlence yakalamak çeki mod geç Mm Açıl Açıl Mm objektif sahne tamam çeki Super ccd Mp sensör çözünürlük Mp sensör sahne güzel yakalamak görmek optik Zoom optik Zoom telefon ulaşmak netlikle aksiyon yakın cep sığa fotoğraf taşınmak güzel cep sığmak küçük seçmek siyah seçenek seçmek tarz sergilemek ayrıntı yakalamak flâş Güç hassasiyet batım çekme makro odaklamak mesafe makro odaklamak mesafe nesne yakalamak harika video çekmek düğme erişmek düğme çekme kolay Clear Photo Lcd fotoğraf görmek video zahmet oynamak Hd wle akmak çeki düğme basmak Hd yapmak Hd net çekme Hd kayıt an yakalamak düğme yakalamak düğme basmak çekim başlamak dâhil mod etkin ayar ayarlamak fotoğraf efekt yaratmak konuşmak dâhil efekt teknoloji fotoğraf katı mod yapmak yazılım inmek manzara daha yakalamak düğme makine kaymak makine hız kare birleşmek bir panoramik ayrıntılarsuper ccd Mp sensörx optik Zoom özellik Sony objektifgüzel video Hd özelliğitüm sahne panoramik çekimgörüntü efekt yaratmak konuşturunsensör Mm Super ccdefektif pikselyaklaşık megapikselobjektif tipisony lensoptik zoomx çekim optik Zoom clearphoto tft lcdgiriş terminalleriçoklu Usb Usb Usb boyut cipa Mm Mm Mm inç inç inç cipa Oz pil Memory Stick duo Oz gövde sensör sensör Mm Super ccd efektif pik megapiksel tipi Sony lens odak uzak Mm Zoom optik Zoom çekim optik Zoom Zoom vga dijital Zoom sabitlemek steadyshot eis gyro odak odaklamak mod nokta izlemek odaklamak izlemek odaklamak odak aralık iauto ft ft ft Cm ft işık ölçmek mod desen pozlamak hariç flâş mod flâş senkronize flâş flâş hariç flâş hariç flâş aralık İso ft ft ft ft İso Maks ft ft Lcd tipi Cm tipi clearphoto tft Lcd Parlak deklanşör deklanşör iauto denge denge mod bulut floresan denge akkor flâş saklamak dâhil bellek Mb Memory Stick duo Memory Stick Pro duo Memory Stick Pro duo Memory Stick Pro Hg duo Memory Stick xc Hg duo Memory Stick Micro Memory Stick Micro Sd bellek sdhc bellek sdxc bellek Microsd bellek microsdhc bellek microsdxc bellek çözünürlük mod vga mod panoramik geniş x mod x x Fps vga x Fps qvga x Fps Panora panoramik format desteklemek format Jpeg dcf exif mpf Base dpof dâhil flâş dâhil flâş mod flâş senkronize flâş flâş dâhil flâş aralık İso ft ft ft ft İso Maks M ft yaklaşık M ft mod Panora program efekt steady Shot maksimum yaklaşık Fps zamanlamak Sn Sn portre portre duyarlı sahne portre portre plaj gurme evcil mod efekt kısmî yumuşak video makine kısmî yumuşak Panora panoramik çekim çekim işlev ayarlamak çekim program Panora görüntü efekt steady Shot oynamak oynamak mod slayt pozlamak pozlamak telâfi kadem İso hassasiyet otomatik İso hassasiyet video otomatik İso tüketim makine yaklaşık pil cipa yaklaşık yaklaşık dakika arayüz çıkış terminal çok Usb Usb Usb kutu aksesuar şarj pil np bn Ac adaptör Ac ubc bilek kaymak çok Usb kablo kılavuz,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2580,Tefal gv ayar Pro Express total Auto Control buhar jeneratör ütü buhar basınç buhar dk buhar buhar ayar tank çıkarmak tank do autoclean kordon saklamak bölme Comfort,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2838,Sony Xperia özellik genişlik Mm Yüksek Mm kalın Mm şebeke frekans Gsm Gsm Gsm Gsm Bluetooth kayıt pil Mah süre Wi Hsdpa mod Bluetooth versiyon low Energy Wi versiyon N Ac Usb Gps Glonass Nfc özellik toz dayanık sertifika donmak çipset Qualcomm Snapdragon msmab işlem Ghz krait ram gb lpddr Mhz Adreno işlem sensör ivme Ölçer sensör jiroskop sensör pusula boyut inç çözünürlük px dokunmatik ekstra Live Color Led teknoloji triluminos ips Lcd ppi pik yoğun parmak çok dokunmatik çatlamak çizik x Reality engin Bravia engin yazılım iyi kapasitif çok dokunmatik hafız hafıza gb hariç hafız yuva hariç hafız Microsd maksimum hafız boyut gb çözünürlük Mp flâş Mp ekstra inç aydınlatmak Sony exmor Rs Cmos sensör bionz işlem Fps Hd mod etiketlemek dokunmak odak Panora Hdr timeshift mod ultra Hd senkronizasyon sistem versiyon Kitkat tema arayüz Sony Xperia ui çoklumedya özellik Mp çalmak çalmak dâhil çekmek video oynamak ön görüntü eksta çoklumedya özellik mhl port hoparlör miracast kablo Dlna özellik taramak Edge ekstra özellik Dc Hsdpa Mbps inmek hsupa Mbps yüklem mesajlaşmak Wi Hotspot Wi Direct,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
