id,description,bilgisayar,cep telefonu,ev elektroniği,bilgisayar bileşenleri,fotoğraf / elektronik,küçük ev aletleri,televizyon,monitör,çevre birimleri,network ürünleri,tüketici elektroniği,yazılım,bilgi teknolojileri,yazıcılar,elektronik,oyun - hobi,aksesuar ürünleri,ütü,tüketim malzemeleri,toner,kulaklık,mürekkep kartuşları,veri depolama,mouse,bellek (ram),ekran kartı,aksesuar & sarf malz.,sarf malzemeleri,kablolar,akıllı telefonlar,bilgisayar tablet yazıcı,toner kartuş şerit,samsung,apple,sony,corsair,philips,tablet,s-link,everest,hp,resim,oyunlar,fotoğraf makinesi,asus,hoparlörler,hafıza kartları,sarf malzemeler,aksesuarlar,bilgisayar aksesuarları,yazıcı & sarf malzemeleri,bilgisayar oyunları,çantalar ve kılıflar,airties,kartuş,canon,aral,Others
462,hp pavilion nnt pentium gb gb dokunmatik win kwea detay intel pentium işlemciişlemci intel pentium intel hd graphics ghz mb önbellek çekirdek bellek gb mhz ddrl sdramdahili gb rpm sataekran inç diyagonal hd led aydınlatmak dokunmatik grafik intel hd graphicsbağlantı hdmi usb usb rj hoparlör beats audioağ arabirimitümleşik base ethernet lankablosuz bluetooth birleşim miracast ac adaptörüpil wh prizmatikenerji verimliliğienergy belgeliepeat silver,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1286,stok kargo yüzey retina hd donmak birliktelik form nesli plusı çözünmek retina hd kontrast görüntülemek açı pik gelişmek polarizör kadarki multitouch verim bitmek masaüstü çip barometre sensör ölçmek pil nızı isight mikron pik diyafram donatmak mod hd eklemek hd retina hd parola çığır touch i̇d sensör ios touch i̇d erişmek ios kadarki ios sürüm çıta yükselmek ios uygulamak işlev gelişmek ios uygulamak derinlemek ermek retina hd,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1290,mm şebeke gsm hsdpa hsdpa mbps hsupa lte wi ac dual band wi direct dlna wi hotspot bt kitkat quad core ghz cortex quad core ghz cortex çekirdek çekirdek çekirdek super amoled dokunmatik mp cmos led flş mp cmos mp mv gp wmv asf avi flv mkv webm flş hd kaydetmek bağlanti data wi gps bluetooth out usb hafiza dhil gb gb ram artmak çalmak mp ga aac ogg oga wav wma awb flac mid midi xmf mxmf imy rtttl rtx otamak mm navigasyon chaton sms mms messaj nb mpeg active sync bluetooth messenger ssm push java java midp emulator doküman görüntülemek ekstra mah batarya sensör samsung apps sensör active sync chaton doküman görüntülemek,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1300,çözünmek ultra panel hyperreal uhd dimming kararmak plus yes derinlik gelişmek mod yes dolby ms ms dolby ms dts studio sound dnse dts studio sound dts premium sound dts premium sound dts premium sound yes dengelemek yes rms hoparlör down firing full range woofer hd audio smart smart hub yes samsung smart yes yes dizilemek multimedya yes yes yes yes multi screen dual quad samsung skype yes taramak yes smart interaction etkileşim dhil ready ready etkileşim dlna yes screen mirroring yes samsung smart view yes pi yes ayarlamak hd ci ci ci ci dtv ayarlamak dvb analog tuner yes mheg hbbtv acap ginga ohtv hdmi usb bileşmek pb pr kompozit common use component ethernet yes optik rf kablo common use terrestrial ex link rs irmek out yes ci yuva scart mhl ce jak wifi direct yes hdmi ayar yes hdmi return ch yes instaport hdmi kablo adaptör kablo yes anynet hdmi cec yes wavy deco vnb black efekt deco stand quad yes samsung yes dönüşmek yes çekirdek erişmek zoom kapanmak yes kapmak zamanlamak yes zamanlamak yes bd wise plus yes altyazı yes usb clone yes connectshare usb movie mod advanced gömülü yes epg yes pvr yes mod yes multiroom speaker local languages pip yes bt hid dhil yes usb hid yes smart evolution soundconnect yes teleteks ttxt yes atlamak yes eko algılamak yes verim cıva mg yes besleme ac maks mod iec sürüm kwh kwh ambalaj gxyxd stant gxyxd stant gxyxd kg stand kg stant kg aksesuar gözlük kuman tma pil kuman yes samsung smart touch control ultra montaj desteklemek yes montaj yes vesa montaj yes yes irmek uzamak kablo yes kablo klvye kablo adaptör kılavuz yes kılavuz yes kablo yes kablo,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1665,kod panel led inch ms analog çözünmek pivot ayar vesa,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2485,smartcontrol lite ayarlamak smartcontrol lite simge gui monitör kalibrasyon multimedya monitör parametre ayar ayrıntılamak smartcontrast smartcontrast görüntülemek görüntülemek kontrast ayarlamak aydınlatmak philips mod seçilmek uygulamak görüntülemek kontrast ayar aydınlatmak ayar uygulamak cıva içermek led aydınlatmak philips monitör cıva led led yanmak led cıva içermek led lcd aydınlatmak kontrast philips vlsb led monitör ms inç çözünmek led aydınlatmak tft lcd ms frekans kontrast smartcontrast kontrast derinlik vga analog hoparlör monte adaptör dhil vac pixel,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2495,seagate backup plus yedeklemek seagate backup plus disk saklamak tüketmek yedeklemek disk cüzdan evrak çanta seagate dashboard tıklamak yedeklemek ayarlamak koru işlev kopya kaydetmek yedeklemek paha biçmek depolamak etiket yayınlamak seagate dashboardun yedeklemek yanlışlıkla kopya yüklemek oluşmak yüklem yüklemek seçi yayınlamak eklemek profil yönetmek mac ntfs sürmek disk pc mac değişmek seagate tb backup plus usb kod stdr disk kapasite arabirim usb rpm gb sn disk inch arabellek media center firewire ethernet adaptör inç mm inç mm derinlik inç mm gereksinim vista xp sp bitmek bitmek mac os superspeed usb usb aktar usb aktar usb mac gerekmek donmak yapılanmak seagate backup plus disk inç usb kablo seagate dashboard disk kılavuz mac ntfs disk,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2503,kompakt hd optik zoom çek mod mm açmak açmak mm çekinmek super ccd mp sensör çözünmek mp sensör görü optik zoom optik zoom netlikle aksiyon sığa sığmak seçi seçi sergilemek ayrıntı flş hassasiyet bat makro odaklamak makro odaklamak düğme erişmek düğme clear photo lcd zahmet hd wle akmak çek düğme basmak hd hd hd kayıtlamak düğme düğme basmak dhil mod ayar ayarlamak efekt dhil efekt mod indirmek düğme kaymak birleşmek panoramik ayrıntılarsuper ccd mp sensörx optik zoom sony objektifgüzel hd özelliğitüm panoramik çekimgörüntü efekt konuşturunsensör mm super ccdefektif pikselyaklaşık megapikselobjektif tipisony lensoptik zoomx optik zoom clearphoto tft lcdgiriş terminalleriçoklu usb usb usb cipa mm mm mm inç inç inç cipa oz pil memory stick duo oz gövde sensör sensör mm super ccd efektif pik megapiksel sony lens odak mm zoom optik zoom optik zoom zoom vga zoom sabitlemek steadyshot eis gyro odaklamak odaklamak mod odaklamak odaklamak odaklamak iauto ft ft ft ft işık ölçmek mod desen pozlama flş mod flş senkronize flş flş flş flş i̇so ft ft ft ft i̇so maks ft ft lcd clearphoto tft lcd deklanşör deklanşör iauto mod floresan akkor flş saklamak dhil bellek mb memory stick duo memory stick pro duo memory stick pro duo memory stick pro hg duo memory stick xc hg duo memory stick micro memory stick micro sd bellek sdhc bellek sdxc bellek microsd bellek microsdhc bellek microsdxc bellek çözünmek mod vga mod panoramik mod fps vga fps qvga fps panorama panoramik format desteklemek format jpeg dcf exif mpf basel dpof dhil flş dhil flş mod flş senkronize flş flş dhil flş i̇so ft ft ft ft i̇so maks ft ft mod panorama efekt steady shot maksimum fps zamanlamak sn sn portre portre portre portre plaj gurme evcil mod efekt kısm kısm panorama panoramik işlev ayarlamak panorama efekt steady shot mod slayt pozlama pozlama telfi kadem i̇so hassasiyet i̇so hassasiyet i̇so pil cipa arayüz terminal usb usb usb aksesuar şarj pil np bn ac adaptör ac ubc bilek kaymak usb kablo kılavuz,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2580,tefal gv ayar pro express total auto control buhar jeneratör ütü buhar basınç buhar buhar buhar ayar tank tank autoclean kordon saklamak bölme comfort,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2838,sony xperia mm mm mm şebeke frekans gsm gsm gsm gsm bluetooth pil mah wi hsdpa mod bluetooth versiyon low energy wi versiyon ac usb gps glonass nfc tozmak dayanık sertifika donmak çipset qualcomm snapdragon msmab ghz krait ram gb lpddr mhz adreno sensör ivme ölçmek sensör jiroskop sensör pusulamak inç çözünmek px dokunmatik ekstra live color led triluminos ips lcd ppi pik dokunmatik çatlamak çizik reality bravia kapasitif dokunmatik hafız gb yuva microsd maksimum gb çözünmek mp flş mp ekstra inç aydınlatmak sony exmor rs cmos sensör bionz fps hd mod etiketlemek dokunmak odaklamak panorama hdr timeshift mod ultra hd senkronizasyon versiyon kitkat tema arayüz sony xperia ui çoklumedya mp çalmak çalmak dhil eksta çoklumedya mhl port hoparlör miracast kablo dlna taramak edge ekstra dc hsdpa mbps indirmek hsupa mbps yüklem wi hotspot wi direct,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
